lgd_code,name_en,name_local,is_aspirational,centroid_lat,centroid_lng
283,Dhubri,ধুবুৰী,true,26.034,89.986
300,Barpeta,বৰপেটা,true,26.323,91.006
302,Goalpara,গোৱালপাৰা,true,26.079,90.626
322,Kamrup Metropolitan,কামৰূপ মহানগৰ,false,26.144,91.736
